Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,
Mujeres,25,12764,13251,13788,14361,14983,15654,16228,17086,17985,18919,19877,20850,21845,22863,23880,24879,25843,26773,27671,28549,29424,30333,31280,32253,33273,34299,35295,35956,36547,37049,37408,37588,37645,37733,37891,38044,38304,38647,39079,39543,40041,40706,41533,42323,43093,43768,44505,,,,,,,,,,,,,,,,,,,,
Mujeres,26,12308,12779,13270,13805,14377,15002,15674,16250,17111,18011,18944,19887,20842,21832,22840,23847,24833,25787,26703,27588,28450,29376,30325,31283,32300,33344,34393,35133,35829,36477,36997,37320,37607,37690,37822,37958,38193,38486,38890,39338,39816,40461,41239,41973,42722,43394,44010,,,,,,,,,,,,,,,,,,,,
Mujeres,27,11889,12315,12791,13280,13815,14391,15018,15692,16271,17134,18035,18953,19879,20829,21809,22808,23804,24781,25723,26627,27497,28437,29396,30351,31347,32378,33440,34238,35009,35758,36425,36905,37326,37641,37767,37888,38103,38352,38708,39130,39597,40198,40924,41611,42309,42965,43580,,,,,,,,,,,,,,,,,,,,
Mujeres,28,11529,11886,12317,12793,13283,13822,14402,15033,15712,16294,17159,18046,18947,19868,20809,21781,22770,23757,24722,25652,26542,27512,28480,29440,30427,31430,32473,33294,34118,34935,35701,36328,36898,37347,37706,37831,38027,38242,38555,38928,39374,39936,40591,41232,41889,42500,43105,,,,,,,,,,,,,,,,,,,,
Mujeres,29,11130,11518,11880,12312,12789,13285,13829,14413,15048,15732,16317,17168,18038,18935,19848,20782,21745,22726,23703,24658,25575,26580,27571,28536,29522,30508,31517,32332,33175,34040,34873,35603,36311,36909,37402,37766,37962,38148,38426,38757,39159,39669,40264,40840,41459,42037,42603,,,,,,,,,,,,,,,,,,,,
Mujeres,30,10724,11113,11507,11871,12305,12788,13289,13837,14427,15068,15755,16325,17158,18024,18915,19822,20749,21705,22678,23645,24589,25629,26651,27635,28620,29600,30588,31384,32217,33094,33973,34773,35574,36311,36951,37454,37886,38064,38312,38609,38973,39408,39935,40460,41023,41573,42114,,,,,,,,,,,,,,,,,,,,
Mujeres,31,10331,10702,11097,11493,11861,12302,12790,13296,13851,14447,15093,15764,16315,17145,18006,18891,19792,20713,21663,22627,23585,24655,25707,26718,27718,28691,29669,30461,31271,32132,33021,33873,34738,35566,36342,36997,37564,37973,38212,38480,38812,39178,39619,40086,40606,41111,41632,,,,,,,,,,,,,,,,,,,,
Mujeres,32,9964,10305,10682,11080,11480,11855,12302,12796,13309,13871,14472,15101,15753,16301,17127,17984,18865,19761,20677,21620,22577,23660,24738,25778,26800,27784,28752,29551,30352,31184,32054,32923,33832,34722,35587,36380,37093,37636,38107,38367,38673,38978,39344,39733,40202,40674,41157,,,,,,,,,,,,,,,,,,,,
Mujeres,33,9618,9937,10285,10665,11067,11475,11855,12308,12809,13329,13897,14480,15087,15738,16284,17107,17961,18839,19732,20643,21580,22656,23744,24808,25854,26858,27834,28641,29446,30264,31104,31962,32880,33813,34736,35618,36464,37156,37759,38252,38551,38802,39104,39426,39825,40256,40713,,,,,,,,,,,,,,,,,,,,
Mujeres,34,9288,9590,9916,10267,10652,11062,11475,11862,12322,12831,13357,13905,14466,15073,15722,16267,17087,17940,18816,19705,20612,21660,22739,23811,24879,25906,26900,27733,28543,29359,30182,31017,31918,32858,33819,34760,35690,36519,37269,37895,38428,38647,38894,39161,39499,39868,40291,,,,,,,,,,,,,,,,,,,,
Mujeres,35,8983,9264,9572,9902,10257,10649,11064,11483,11876,12343,12857,13363,13888,14450,15057,15706,16250,17072,17924,18799,19686,20693,21741,22804,23877,24924,25939,26807,27639,28456,29275,30103,30975,31895,32859,33836,34818,35739,36623,37396,38063,38493,38711,38931,39220,39536,39903,,,,,,,,,,,,,,,,,,,,
Mujeres,36,8691,8961,9249,9560,9893,10255,10652,11073,11498,11898,12370,12864,13346,13874,14436,15045,15694,16240,17063,17916,18790,19764,20770,21802,22864,23916,24950,25855,26719,27554,28371,29204,30063,30951,31892,32871,33884,34864,35836,36742,37554,38098,38535,38733,38981,39255,39574,,,,,,,,,,,,,,,,,,,,
Mujeres,37,8412,8676,8952,9241,9556,9896,10262,10664,11090,11521,11925,12376,12847,13333,13862,14427,15037,15689,16238,17063,17916,18863,19835,20826,21856,22897,23937,24875,25773,26636,27469,28309,29169,30041,30946,31899,32909,33929,34956,35947,36890,37563,38123,38547,38778,39017,39300,,,,,,,,,,,,,,,,,,,,
Mujeres,38,8146,8402,8671,8949,9241,9561,9905,10275,10681,11112,11547,11930,12360,12835,13323,13855,14422,15036,15693,16244,17071,17984,18928,19886,20874,21884,22913,23868,24798,25694,26552,27418,28280,29149,30034,30949,31927,32951,34013,35057,36082,36876,37576,38128,38589,38818,39070,,,,,,,,,,,,,,,,,,,,
Mujeres,39,7875,8142,8403,8673,8952,9250,9573,9920,10293,10704,11138,11552,11915,12349,12827,13318,13854,14426,15044,15703,16258,17131,18041,18972,19928,20897,21897,22852,23799,24723,25613,26512,27394,28262,29140,30033,30967,31968,33030,34107,35182,36051,36883,37578,38170,38633,38876,,,,,,,,,,,,,,,,,,,,
Mujeres,40,7591,7878,8148,8410,8681,8965,9264,9589,9939,10315,10727,11142,11539,11907,12344,12826,13321,13861,14438,15060,15724,16312,17183,18081,19012,19951,20911,21844,22788,23727,24644,25580,26492,27378,28251,29134,30041,31008,32042,33115,34218,35134,36052,36882,37620,38217,38697,,,,,,,,,,,,,,,,,,,,
Mujeres,41,7285,7598,7888,8158,8420,8694,8979,9280,9606,9957,10335,10729,11129,11530,11901,12343,12828,13329,13875,14456,15083,15770,16356,17218,18116,19032,19964,20862,21784,22720,23651,24620,25565,26477,27365,28241,29134,30082,31076,32118,33214,34158,35133,36051,36923,37668,38282,,,,,,,,,,,,,,,,,,,,
Mujeres,42,7046,7293,7609,7898,8168,8433,8709,8994,9295,9623,9974,10337,10719,11123,11527,11903,12348,12839,13344,13894,14480,15120,15807,16386,17249,18135,19046,19917,20804,21715,22641,23628,24603,25547,26460,27349,28232,29174,30145,31144,32204,33144,34157,35133,36093,36973,37735,,,,,,,,,,,,,,,,,,,,
Mujeres,43,6759,7058,7307,7622,7910,8183,8448,8723,9008,9310,9637,9975,10327,10714,11120,11529,11908,12358,12853,13362,13916,14510,15152,15833,16414,17267,18150,19000,19859,20735,21636,22622,23612,24585,25526,26438,27331,28269,29229,30201,31213,32124,33141,34155,35171,36139,37036,,,,,,,,,,,,,,,,,,,,
Mujeres,44,6543,6770,7072,7319,7633,7923,8195,8459,8733,9019,9319,9636,9966,10323,10711,11122,11533,11917,12371,12870,13383,13941,14537,15175,15860,16433,17285,18105,18942,19790,20655,21619,22606,23593,24561,25501,26415,27367,28318,29275,30256,31128,32123,33141,34193,35217,36200,,,,,,,,,,,,,,,,,,,,
Mujeres,45,6335,6553,6781,7081,7327,7642,7932,8202,8465,8739,9022,9314,9626,9960,10318,10710,11123,11539,11926,12383,12885,13400,13962,14556,15200,15880,16454,17237,18044,18869,19707,20637,21601,22584,23565,24531,25470,26446,27406,28352,29314,30166,31127,32122,33175,34234,35270,,,,,,,,,,,,,,,,,,,,
Mujeres,46,6125,6344,6562,6789,7087,7335,7649,7937,8207,8469,8741,9018,9308,9622,9957,10318,10711,11127,11545,11934,12393,12897,13417,13979,14579,15220,15903,16402,17173,17969,18785,19688,20617,21576,22552,23530,24494,25495,26476,27429,28376,29222,30167,31127,32153,33212,34279,,,,,,,,,,,,,,,,,,,,
Mujeres,47,5916,6132,6351,6568,6793,7093,7339,7651,7938,8207,8467,8734,9011,9302,9617,9954,10315,10710,11128,11546,11936,12399,12910,13431,14001,14600,15246,15846,16335,17096,17883,18764,19665,20588,21539,22512,23486,24511,25515,26487,27438,28282,29224,30165,31152,32181,33243,,,,,,,,,,,,,,,,,,,,
Mujeres,48,5707,5920,6136,6354,6568,6795,7094,7338,7649,7935,8201,8459,8727,9005,9296,9611,9948,10310,10706,11123,11542,11940,12410,12923,13453,14022,14628,15183,15773,16253,17007,17858,18737,19632,20546,21493,22461,23495,24521,25516,26483,27345,28285,29219,30183,31169,32196,,,,,,,,,,,,,,,,,,,,
Mujeres,49,5500,5709,5923,6136,6352,6569,6794,7091,7334,7645,7928,8193,8452,8720,8997,9287,9601,9938,10299,10694,11110,11542,11948,12422,12943,13474,14050,14559,15106,15688,16164,16979,17827,18698,19584,20494,21435,22461,23494,24509,25498,26389,27345,28274,29227,30186,31166,,,,,,,,,,,,,,,,,,,,
Mujeres,50,5296,5496,5706,5917,6129,6347,6562,6786,7082,7325,7632,7916,8182,8441,8708,8983,9271,9585,9920,10280,10672,11108,11549,11959,12441,12964,13502,13974,14476,15016,15594,16129,16940,17781,18644,19525,20428,21425,22449,23471,24479,25402,26382,27324,28268,29212,30160,,,,,,,,,,,,,,,,,,,,
Mujeres,51,5105,5289,5489,5697,5906,6121,6337,6551,6774,7069,7309,7617,7903,8169,8425,8690,8962,9250,9561,9893,10249,10669,11114,11558,11976,12460,12989,13418,13886,14382,14920,15553,16084,16888,17720,18577,19451,20408,21402,22415,23429,24382,25388,26352,27303,28235,29164,,,,,,,,,,,,,,,,,,,,
Mujeres,52,4929,5093,5277,5475,5681,5893,6107,6322,6535,6758,7050,7291,7601,7885,8148,8402,8663,8934,9218,9526,9854,10245,10672,11120,11572,11992,12482,12899,13323,13786,14282,14869,15498,16023,16818,17645,18496,19422,20375,21358,22362,23328,24357,25344,26313,27248,28160,,,,,,,,,,,,,,,,,,,,
Mujeres,53,4771,4912,5076,5258,5455,5663,5875,6086,6301,6514,6735,7028,7271,7579,7860,8120,8369,8629,8897,9178,9481,9851,10248,10678,11131,11584,12007,12383,12797,13220,13684,14223,14807,15430,15948,16740,17560,18459,19380,20322,21296,22258,23292,24298,25287,26237,27149,,,,,,,,,,,,,,,,,,,,
Mujeres,54,4632,4749,4889,5051,5232,5431,5639,5849,6060,6275,6486,6707,7002,7244,7548,7826,8082,8330,8587,8851,9128,9478,9852,10251,10685,11138,11593,11902,12276,12689,13113,13615,14151,14730,15346,15862,16647,17513,18408,19318,20252,21189,22209,23218,24222,25188,26112,,,,,,,,,,,,,,,,,,,,
Mujeres,55,4509,4603,4719,4858,5018,5202,5401,5607,5817,6029,6241,6453,6676,6969,7207,7509,7783,8038,8283,8536,8797,9123,9476,9851,10252,10684,11138,11481,11791,12165,12581,13038,13537,14069,14642,15256,15768,16595,17455,18340,19241,20140,21125,22118,23120,24099,25035,,,,,,,,,,,,,,,,,,,,
Mujeres,56,4399,4474,4567,4681,4819,4984,5167,5364,5571,5781,5991,6204,6418,6640,6929,7164,7462,7734,7986,8227,8477,8789,9118,9470,9846,10244,10675,11021,11365,11675,12053,12496,12951,13446,13973,14544,15154,15706,16527,17379,18255,19123,20060,21016,22000,22975,23921,,,,,,,,,,,,,,,,,,,,
Mujeres,57,4294,4358,4432,4524,4638,4781,4944,5127,5325,5532,5741,5952,6166,6378,6596,6883,7114,7410,7679,7927,8165,8467,8780,9106,9458,9829,10224,10554,10901,11245,11560,11960,12402,12854,13345,13871,14439,15085,15633,16447,17290,18132,19028,19934,20878,21831,22771,,,,,,,,,,,,,,,,,,,,
Mujeres,58,4185,4245,4308,4383,4475,4594,4736,4900,5083,5282,5489,5698,5909,6122,6330,6546,6828,7058,7351,7616,7860,8150,8451,8761,9085,9431,9797,10099,10430,10778,11127,11460,11859,12299,12747,13240,13763,14363,15005,15547,16352,17160,18020,18885,19778,20691,21609,,,,,,,,,,,,,,,,,,,,
Mujeres,59,4067,4130,4189,4253,4327,4425,4545,4687,4852,5037,5236,5442,5650,5860,6069,6276,6487,6768,6995,7283,7544,7839,8128,8425,8731,9049,9390,9671,9973,10304,10656,11019,11353,11750,12186,12637,13127,13679,14275,14911,15447,16214,17032,17862,18713,19575,20452,,,,,,,,,,,,,,,,,,,,
Mujeres,60,3938,4007,4069,4129,4193,4274,4373,4493,4637,4804,4990,5187,5391,5598,5804,6011,6213,6424,6701,6924,7208,7516,7809,8093,8385,8684,8995,9258,9541,9844,10179,10542,10905,11239,11634,12073,12521,13036,13585,14175,14804,15301,16072,16861,17677,18498,19326,,,,,,,,,,,,,,,,,,,,
Mujeres,61,3795,3872,3941,4003,4064,4136,4218,4317,4440,4587,4754,4937,5131,5334,5538,5741,5943,6144,6352,6624,6844,7172,7479,7766,8045,8330,8622,8864,9127,9409,9715,10060,10424,10787,11118,11517,11954,12424,12934,13477,14061,14647,15145,15890,16665,17454,18243,,,,,,,,,,,,,,,,,,,,
Mujeres,62,3642,3725,3802,3871,3935,4004,4077,4160,4263,4388,4536,4699,4878,5072,5270,5471,5669,5870,6068,6272,6539,6801,7126,7427,7709,7980,8257,8487,8729,8991,9274,9591,9938,10301,10663,10999,11397,11850,12314,12819,13355,13895,14478,14955,15688,16439,17198,,,,,,,,,,,,,,,,,,,,
Mujeres,63,3482,3567,3650,3728,3798,3870,3940,4015,4102,4208,4335,4477,4636,4814,5003,5198,5394,5591,5789,5983,6182,6488,6747,7067,7361,7634,7898,8119,8348,8588,8852,9148,9466,9812,10174,10540,10875,11283,11731,12190,12687,13180,13715,14278,14748,15459,16183,,,,,,,,,,,,,,,,,,,,
Mujeres,64,3322,3405,3489,3572,3651,3730,3803,3875,3954,4044,4152,4273,4410,4568,4741,4927,5117,5312,5506,5700,5890,6125,6428,6681,6994,7280,7545,7757,7978,8204,8445,8724,9021,9338,9682,10048,10412,10752,11154,11596,12046,12503,12990,13509,14066,14520,15207,,,,,,,,,,,,,,,,,,,,
Mujeres,65,3161,3243,3325,3409,3494,3580,3660,3735,3811,3893,3985,4086,4200,4337,4490,4661,4842,5031,5223,5412,5603,5826,6059,6355,6602,6905,7182,7401,7612,7828,8055,8313,8593,8890,9205,9552,9915,10278,10613,11009,11442,11855,12307,12781,13295,13837,14274,,,,,,,,,,,,,,,,,,,,
Mujeres,66,2996,3079,3159,3242,3327,3419,3507,3589,3667,3747,3831,3915,4008,4123,4255,4407,4572,4752,4939,5126,5312,5532,5753,5980,6268,6507,6801,7035,7252,7459,7676,7923,8182,8460,8753,9071,9415,9772,10128,10458,10845,11243,11654,12094,12566,13068,13593,,,,,,,,,,,,,,,,,,,,
Mujeres,67,2826,2914,2994,3075,3159,3251,3344,3433,3518,3600,3682,3756,3833,3927,4037,4168,4314,4480,4657,4839,5023,5236,5453,5668,5888,6167,6396,6651,6883,7095,7302,7542,7788,8045,8319,8615,8928,9262,9611,9961,10282,10639,11037,11439,11879,12341,12829,,,,,,,,,,,,,,,,,,,,
Mujeres,68,2646,2744,2828,2909,2990,3081,3173,3267,3359,3446,3530,3601,3668,3746,3836,3945,4071,4219,4381,4554,4734,4940,5150,5362,5569,5781,6050,6245,6496,6723,6935,7166,7404,7648,7900,8175,8465,8766,9092,9435,9775,10070,10431,10821,11224,11656,12106,,,,,,,,,,,,,,,,,,,,
Mujeres,69,2455,2564,2658,2742,2823,2911,3001,3094,3190,3284,3373,3446,3508,3577,3651,3741,3846,3973,4118,4277,4447,4646,4849,5053,5257,5456,5659,5897,6090,6336,6563,6799,7027,7261,7499,7751,8019,8294,8586,8906,9237,9556,9859,10214,10605,11001,11421,,,,,,,,,,,,,,,,,,,,
Mujeres,70,2255,2376,2480,2573,2656,2743,2831,2920,3015,3112,3206,3284,3348,3412,3477,3552,3638,3744,3869,4010,4166,4353,4548,4746,4943,5138,5329,5505,5739,5928,6173,6422,6655,6879,7105,7343,7586,7840,8107,8393,8700,9016,9343,9641,9997,10381,10766,,,,,,,,,,,,,,,,,,,,
Mujeres,71,2051,2177,2292,2394,2485,2574,2660,2747,2838,2934,3031,3113,3182,3248,3309,3374,3445,3533,3638,3760,3899,4068,4252,4442,4632,4821,5008,5174,5348,5577,5766,6031,6276,6502,6718,6944,7171,7401,7645,7905,8180,8475,8801,9122,9422,9770,10143,,,,,,,,,,,,,,,,,,,,
Mujeres,72,1851,1975,2095,2206,2305,2401,2489,2573,2661,2753,2847,2932,3006,3077,3139,3201,3263,3336,3423,3525,3645,3794,3961,4140,4322,4505,4685,4850,5015,5185,5413,5622,5881,6118,6335,6548,6763,6977,7198,7436,7684,7950,8257,8576,8898,9190,9526,,,,,,,,,,,,,,,,,,,,
Mujeres,73,1661,1778,1895,2010,2117,2221,2314,2400,2484,2572,2662,2745,2822,2898,2965,3027,3086,3151,3223,3308,3409,3538,3685,3847,4018,4193,4367,4527,4689,4850,5019,5263,5467,5717,5943,6158,6359,6563,6768,6982,7209,7452,7731,8030,8347,8658,8938,,,,,,,,,,,,,,,,,,,,
Mujeres,74,1486,1590,1699,1811,1921,2032,2132,2222,2307,2392,2477,2556,2632,2711,2782,2849,2908,2970,3034,3105,3188,3296,3423,3566,3721,3885,4051,4206,4363,4522,4681,4867,5103,5298,5537,5759,5961,6154,6348,6547,6751,6973,7230,7500,7795,8099,8395,,,,,,,,,,,,,,,,,,,,
Mujeres,75,1326,1415,1512,1616,1723,1836,1942,2039,2128,2212,2294,2369,2443,2520,2594,2665,2728,2791,2851,2914,2984,3073,3180,3303,3439,3587,3742,3890,4042,4194,4351,4525,4705,4931,5115,5348,5557,5752,5935,6123,6312,6512,6747,6993,7257,7538,7824,,,,,,,,,,,,,,,,,,,,
Mujeres,76,1185,1259,1340,1432,1531,1640,1747,1848,1943,2030,2111,2184,2254,2328,2401,2474,2541,2606,2668,2727,2789,2863,2952,3055,3172,3302,3442,3579,3724,3871,4022,4191,4359,4530,4744,4925,5144,5347,5531,5708,5886,6071,6282,6505,6743,6991,7253,,,,,,,,,,,,,,,,,,,,
Mujeres,77,1058,1119,1186,1263,1350,1450,1553,1655,1753,1845,1928,2001,2069,2141,2210,2281,2350,2419,2483,2542,2601,2666,2741,2826,2924,3035,3157,3280,3413,3553,3697,3859,4022,4181,4341,4549,4717,4931,5123,5301,5468,5640,5834,6033,6247,6469,6697,,,,,,,,,,,,,,,,,,,,
Mujeres,78,944,995,1050,1113,1185,1273,1367,1464,1562,1657,1745,1820,1889,1958,2024,2091,2157,2227,2294,2355,2413,2474,2540,2612,2693,2787,2891,2996,3115,3243,3380,3535,3690,3843,3991,4146,4339,4506,4708,4893,5060,5220,5399,5579,5768,5964,6165,,,,,,,,,,,,,,,,,,,,
Mujeres,79,841,883,928,979,1038,1111,1194,1282,1375,1469,1559,1639,1711,1779,1842,1906,1967,2034,2101,2164,2223,2283,2345,2410,2478,2556,2644,2730,2832,2946,3071,3217,3364,3509,3652,3795,3938,4130,4287,4480,4653,4811,4974,5139,5308,5478,5653,,,,,,,,,,,,,,,,,,,,
Mujeres,80+,37295,39581,42333,45062,48796,52578,56494,60678,64876,69388,74258,79266,84884,90503,96026,102187,108306,114488,121232,127358,133884,141908,149544,157410,165616,175722,186535,198268,211467,226117,241756,257609,274168,291440,307828,324051,339200,354989,370521,385503,400368,415435,430958,446255,460435,474303,487211,501481,517526,535090,555177,579055,604485,630475,656537,684752,712226,742442,773146,804718,836402,868867,902460,935624,968460,999771,1028733
